"carrier_id","type","date_pulled","owned","term_leased","trip_leased"
1000187,Straight Trucks,"5/26/2023",1,0,0
1000188,Straight Trucks,"5/26/2023",1,0,0
1000189,Truck Tractors,"5/26/2023",1,0,0
1000189,Trailers*,"5/26/2023",1,0,0
1000191,Truck Tractors,"5/26/2023",0,1,0
1000191,Hazmat Cargo Tank Trailers*,"5/26/2023",1,0,0
1000194,Truck Tractors,"5/26/2023",3,0,0
1000194,Trailers*,"5/26/2023",1,0,0
1000196,Truck Tractors,"5/26/2023",2,6,0
1000196,Trailers*,"5/26/2023",6,7,0
1000198,Straight Trucks,"5/26/2023",1,0,0
1000201,Truck Tractors,"5/26/2023",1,0,0
1000201,Trailers*,"5/26/2023",8,0,0
1000204,Truck Tractors,"5/26/2023",2,0,0
1000204,Trailers*,"5/26/2023",2,0,0
1000207,Straight Trucks,"5/26/2023",5,0,0
1000209,Truck Tractors,"5/26/2023",1,0,0
1000209,Trailers*,"5/26/2023",0,1,0
1000210,Straight Trucks,"5/26/2023",2,0,0
1000211,Straight Trucks,"5/26/2023",10,13,0
1000211,Truck Tractors,"5/26/2023",1,0,0
1000211,Trailers*,"5/26/2023",21,0,0
1000214,Straight Trucks,"5/26/2023",1,0,0
1000215,Truck Tractors,"5/26/2023",2,0,0
1000215,Trailers*,"5/26/2023",9,0,0
1000216,Truck Tractors,"5/26/2023",1,0,0
1000216,Trailers*,"5/26/2023",1,0,0
1000218,Straight Trucks,"5/26/2023",10,0,0
1000219,Straight Trucks,"5/26/2023",1,0,0
100022,Truck Tractors,"5/26/2023",0,11,0
100022,Trailers*,"5/26/2023",111,53,0
1000222,Straight Trucks,"5/26/2023",1,0,0
1000222,Trailers*,"5/26/2023",1,0,0
1000226,Straight Trucks,"5/26/2023",2,0,0
1000229,Truck Tractors,"5/26/2023",1,0,0
1000229,Trailers*,"5/26/2023",1,0,0
1000230,Straight Trucks,"5/26/2023",1,0,0
1000231,Straight Trucks,"5/26/2023",1,0,0
1000233,Straight Trucks,"5/26/2023",10,0,0
1000233,Truck Tractors,"5/26/2023",1,0,0
1000233,Trailers*,"5/26/2023",1,0,0
1000235,Straight Trucks,"5/26/2023",35,12,0
1000235,Trailers*,"5/26/2023",14,0,0
1000238,Straight Trucks,"5/26/2023",0,4,0
1000246,Straight Trucks,"5/26/2023",1,0,0
