"carrier_id","date_pulled","cargo_carried"
1000180,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS"",COAL,COKE}"
1000488,"5/26/2023","{""FARM SUPPLIES""}"
1000181,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000182,"5/26/2023","{""FRESH PRODUCE"",MEAT,""REFRIGERATED FOOD""}"
1000184,"5/26/2023",{CONSTRUCTION}
1000185,"5/26/2023",{DIRT}
1000186,"5/26/2023","{""GENERAL FREIGHT"",""MOTOR VEHICLES"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000187,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000188,"5/26/2023","{""BUILDING MATERIALS"",DIRT,GRAVEL,SAND}"
1000189,"5/26/2023","{""MOTOR VEHICLES""}"
1000191,"5/26/2023",{LIQUIDS/GASES}
1000194,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000196,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",AGGREGATES}"
1000198,"5/26/2023",{CONSTRUCTION}
1000201,"5/26/2023","{""FRESH PRODUCE"",""FARM SUPPLIES"",FERTILIZER}"
1000204,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,AGGREGATE}"
1000207,"5/26/2023","{""BUILDING MATERIALS""}"
1000209,"5/26/2023","{""GENERAL FREIGHT""}"
1000210,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000211,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000214,"5/26/2023","{""HOUSEHOLD GOODS""}"
1000215,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY}"
1000216,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,GRAIN,FEED,HAY}"
1000218,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",MACHINERY,""LARGE OBJECTS""}"
1000219,"5/26/2023","{""PUMPS & MOTORS""}"
100022,"5/26/2023","{""PAPER PRODUCTS"",""CORRUGATED CARTONS""}"
1000222,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",""INTERMODAL CONTAINERS"",GRAIN,FEED,HAY,GARBAGE,REFUSE,TRASH,""FARM SUPPLIES"",CONSTRUCTION}"
1000226,"5/26/2023",{CONSTRUCTION}
1000229,"5/26/2023","{GRAIN,FEED,HAY}"
1000230,"5/26/2023","{""MOTOR VEHICLES""}"
1000231,"5/26/2023",{LIQUIDS/GASES}
1000233,"5/26/2023","{""BUILDING MATERIALS""}"
1000235,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""WATER WELL""}"
1000238,"5/26/2023",{TIRES}
1000244,"5/26/2023",{PASSENGERS}
1000246,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",LIQUIDS/GASES,CONSTRUCTION}"
1000249,"5/26/2023","{""WATER WELL""}"
1000252,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000254,"5/26/2023","{""GENERAL FREIGHT"",LIVESTOCK,GRAIN,FEED,HAY}"
1000255,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""METAL; SHEETS"",COILS,ROLLS,""MOTOR VEHICLES"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",""MOBILE HOMES"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT"",GARBAGE,REFUSE,TRASH,""FARM SUPPLIES"",CONSTRUCTION}"
1000258,"5/26/2023",{FURNITURE}
1000261,"5/26/2023",{CONSTRUCTION}
1000262,"5/26/2023","{""GENERAL FREIGHT"",PASSENGERS,TOOLS}"
1000263,"5/26/2023",{LIQUIDS/GASES}
1000264,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000266,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""DIRT & GRAVEL""}"
1000267,"5/26/2023","{CONSTRUCTION,""PLUMBING & HEATING SUPPLIES""}"
1000268,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",UTILITY,CONSTRUCTION}"
1000273,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",CONSTRUCTION}"
1000279,"5/26/2023","{""GENERAL FREIGHT"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",CONSTRUCTION}"
1000283,"5/26/2023",{CONSTRUCTION}
1000286,"5/26/2023","{""FARM SUPPLIES"",CONSTRUCTION}"
1000288,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""INTERMODAL CONTAINERS"",GRAIN,FEED,HAY,GARBAGE,REFUSE,TRASH,""U.S. MAIL"",""COMMODITIES DRY BULK"",""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS"",CONSTRUCTION}"
1000292,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,FLUFF}"
1000294,"5/26/2023","{""MOTOR VEHICLES""}"
